transaction_id,order_id,utr,customer_name,payment_method,gross_amount,expected_settlement,actual_bank_credit,settlement_date,bank_date,status
TXN_RZP_100030,ORD_INV_200030,UTR_HDFC_800030,Meera Nambiar,Credit Card,6466.08,6313.48,6313.48,2026-03-02 07:30:00,2026-03-03 07:30:00,MATCHED
TXN_RZP_100031,ORD_INV_200031,UTR_HDFC_800031,Siddharth Nair,Wallet,5038.86,4919.94,4919.94,2026-03-02 08:15:00,2026-03-03 08:15:00,MATCHED
TXN_RZP_100032,ORD_INV_200032,UTR_HDFC_800030,Tanvi Deshmukh,UPI,40608.75,39650.38,39650.38,2026-03-02 09:00:00,2026-03-03 09:00:00,EXCEPTION
TXN_RZP_100033,ORD_INV_200033,UTR_HDFC_800033,Tanvi Deshmukh,Credit Card,40874.95,39910.3,39910.3,2026-03-02 09:45:00,2026-03-03 09:45:00,MATCHED
TXN_RZP_100034,ORD_INV_200034,UTR_HDFC_800034,Ananya Rao,UPI,20368.92,19888.21,19888.21,2026-03-02 10:30:00,2026-03-03 10:30:00,MATCHED
TXN_RZP_100035,ORD_INV_200034,UTR_HDFC_800035,Meera Nambiar,Wallet,44722.38,43666.93,43666.93,2026-03-02 11:15:00,2026-03-03 11:15:00,EXCEPTION
TXN_RZP_100036,ORD_INV_200036,UTR_HDFC_800036,Manish Tiwari,Credit Card,5548.53,5417.59,5417.59,2026-03-02 12:00:00,2026-03-03 12:00:00,MATCHED
TXN_RZP_100037,ORD_INV_200037,UTR_HDFC_800037,Tanvi Deshmukh,UPI,13621.16,13299.7,13299.7,2026-03-02 12:45:00,2026-03-03 12:45:00,MATCHED
TXN_RZP_100038,ORD_INV_200038,UTR_HDFC_800038,Sneha Kulkarni,Credit Card,29630.53,28931.25,28931.25,2026-03-02 13:30:00,2026-03-03 13:30:00,MATCHED
TXN_RZP_100039,ORD_INV_200039,UTR_HDFC_800039,Manish Tiwari,Credit Card,31474.05,30731.26,30731.26,2026-03-02 14:15:00,2026-03-03 14:15:00,MATCHED
TXN_RZP_100040,ORD_INV_200040,UTR_HDFC_800040,Sneha Kulkarni,Debit Card,40437.64,39483.31,39483.31,2026-03-02 15:00:00,2026-03-03 15:00:00,MATCHED
TXN_RZP_100041,ORD_INV_200041,UTR_HDFC_800041,Ishaan Khatter,Credit Card,18566.09,18127.93,18127.93,2026-03-02 15:45:00,2026-03-03 15:45:00,MATCHED
TXN_RZP_100042,ORD_INV_200042,UTR_HDFC_800042,Rahul Dravid,Credit Card,19952.73,19481.85,19481.85,2026-03-02 16:30:00,2026-03-03 16:30:00,MATCHED
TXN_RZP_100043,ORD_INV_200043,UTR_HDFC_800043,Siddharth Nair,Debit Card,34110.66,33305.65,33305.65,2026-03-02 17:15:00,2026-03-03 17:15:00,MATCHED
TXN_RZP_100044,ORD_INV_200044,UTR_HDFC_800044,Siddharth Nair,Debit Card,10352.4,10108.08,10108.08,2026-03-02 18:00:00,2026-03-03 18:00:00,MATCHED
TXN_RZP_100045,ORD_INV_200045,UTR_HDFC_800045,Tanvi Deshmukh,Debit Card,34108.77,33303.8,33303.8,2026-03-02 18:45:00,2026-03-03 18:45:00,MATCHED
TXN_RZP_100046,ORD_INV_200046,UTR_HDFC_800046,Manish Tiwari,Credit Card,26812.25,26179.47,26179.47,2026-03-02 19:30:00,2026-03-03 19:30:00,MATCHED
TXN_RZP_100047,ORD_INV_200047,UTR_HDFC_800047,Rahul Dravid,Debit Card,27903.09,27244.58,27244.58,2026-03-02 20:15:00,2026-03-03 20:15:00,MATCHED
TXN_RZP_100048,ORD_INV_200048,UTR_HDFC_800048,Aditya Joshi,UPI,30338.96,29622.96,29622.96,2026-03-02 21:00:00,2026-03-03 21:00:00,MATCHED
TXN_RZP_100049,ORD_INV_200049,UTR_HDFC_800049,Vikram Malhotra,Credit Card,16929.0,16529.48,11450.78,2026-03-02 21:45:00,2026-03-03 21:45:00,EXCEPTION
TXN_RZP_100050,ORD_INV_200050,UTR_HDFC_800050,Priya Patel,NetBanking,16155.1,15773.84,15773.84,2026-03-02 22:30:00,2026-03-03 22:30:00,MATCHED
TXN_RZP_100051,ORD_INV_200051,UTR_HDFC_800051,Sneha Kulkarni,UPI,5952.13,5811.66,5811.66,2026-03-02 23:15:00,2026-03-03 23:15:00,MATCHED
TXN_RZP_100052,ORD_INV_200052,UTR_HDFC_800052,Manish Tiwari,UPI,19141.56,18689.82,18689.82,2026-03-03 00:00:00,2026-03-04 00:00:00,MATCHED
TXN_RZP_100053,ORD_INV_200053,UTR_HDFC_800053,Varun Dhawan,Debit Card,43698.98,42667.68,42667.68,2026-03-03 00:45:00,2026-03-04 00:45:00,MATCHED
TXN_RZP_100054,ORD_INV_200054,UTR_HDFC_800054,Siddharth Nair,Wallet,38466.39,37558.58,37558.58,2026-03-03 01:30:00,2026-03-04 01:30:00,MATCHED
TXN_RZP_100055,ORD_INV_200055,UTR_HDFC_800055,Rohit Verma,Credit Card,13620.97,13299.51,13299.51,2026-03-03 02:15:00,2026-03-04 02:15:00,MATCHED
TXN_RZP_100056,ORD_INV_200056,UTR_HDFC_800056,Sneha Kulkarni,NetBanking,2754.81,2689.79,2689.79,2026-03-03 03:00:00,2026-03-04 03:00:00,MATCHED
TXN_RZP_100057,ORD_INV_200057,UTR_HDFC_800057,Ananya Rao,UPI,13120.97,12811.31,12811.31,2026-03-03 03:45:00,2026-03-04 03:45:00,MATCHED
TXN_RZP_100058,ORD_INV_200058,UTR_HDFC_800058,Neha Gupta,Wallet,6441.5,6289.48,6289.48,2026-03-03 04:30:00,2026-03-04 04:30:00,MATCHED
TXN_RZP_100059,ORD_INV_200059,UTR_HDFC_800059,Ishaan Khatter,Credit Card,34738.12,33918.3,33918.3,2026-03-03 05:15:00,2026-03-04 05:15:00,MATCHED
TXN_RZP_100060,ORD_INV_200060,UTR_HDFC_800060,Vikram Malhotra,NetBanking,28094.52,27431.49,27431.49,2026-03-03 06:00:00,2026-03-04 06:00:00,MATCHED
TXN_RZP_100061,ORD_INV_200061,UTR_HDFC_800061,Ishaan Khatter,UPI,39885.21,38943.92,38943.92,2026-03-03 06:45:00,2026-03-04 06:45:00,MATCHED
TXN_RZP_100062,ORD_INV_200062,UTR_HDFC_800062,Varun Dhawan,Debit Card,37422.23,36539.07,36539.07,2026-03-03 07:30:00,2026-03-04 07:30:00,MATCHED
TXN_RZP_100063,ORD_INV_200063,UTR_HDFC_800063,Deepika Sen,UPI,39032.89,38111.71,38111.71,2026-03-03 08:15:00,2026-03-04 08:15:00,MATCHED
TXN_RZP_100064,ORD_INV_200064,UTR_HDFC_800064,Nikhil Chopra,Wallet,33385.16,32597.27,0.0,2026-03-03 09:00:00,,EXCEPTION
TXN_RZP_100065,ORD_INV_200065,UTR_HDFC_800065,Deepika Sen,UPI,33444.34,32655.05,32655.05,2026-03-03 09:45:00,2026-03-04 09:45:00,MATCHED
TXN_RZP_100066,ORD_INV_200066,UTR_HDFC_800066,Meera Nambiar,UPI,7953.18,7765.49,7765.49,2026-03-03 10:30:00,2026-03-04 10:30:00,MATCHED
TXN_RZP_100067,ORD_INV_200067,UTR_HDFC_800067,Deepika Sen,Wallet,25461.29,24860.4,24460.4,2026-03-03 11:15:00,2026-03-04 11:15:00,EXCEPTION
TXN_RZP_100068,ORD_INV_200068,UTR_HDFC_800068,Pooja Mehta,Wallet,25012.48,24422.18,24422.18,2026-03-03 12:00:00,2026-03-04 12:00:00,MATCHED
TXN_RZP_100069,ORD_INV_200069,UTR_HDFC_800069,Vikram Malhotra,Credit Card,2631.89,2569.77,2569.77,2026-03-03 12:45:00,2026-03-04 12:45:00,MATCHED
TXN_RZP_100070,ORD_INV_200070,UTR_HDFC_800070,Siddharth Nair,NetBanking,27409.74,26762.88,26762.88,2026-03-03 13:30:00,2026-03-04 13:30:00,MATCHED
TXN_RZP_100071,ORD_INV_200071,UTR_HDFC_800071,Ishaan Khatter,NetBanking,8562.04,8359.98,8359.98,2026-03-03 14:15:00,2026-03-04 14:15:00,MATCHED
TXN_RZP_100072,ORD_INV_200072,UNKNOWN,Deepika Sen,Credit Card,19309.59,18853.89,0.0,2026-03-03 15:00:00,,EXCEPTION
TXN_RZP_100073,ORD_INV_200073,UTR_HDFC_800073,Priya Patel,Credit Card,36333.4,35475.93,35475.93,2026-03-03 15:45:00,2026-03-04 15:45:00,MATCHED
TXN_RZP_100074,ORD_INV_200074,UTR_HDFC_800074,Vikram Malhotra,Wallet,8349.62,8152.57,8152.57,2026-03-03 16:30:00,2026-03-04 16:30:00,MATCHED
TXN_RZP_100075,ORD_INV_200075,UTR_HDFC_800075,Aarav Sharma,UPI,2022.81,1975.07,1975.07,2026-03-03 17:15:00,2026-03-04 17:15:00,MATCHED
TXN_RZP_100076,ORD_INV_200076,UTR_HDFC_800076,Aditya Joshi,Credit Card,44745.69,43689.7,43689.7,2026-03-03 18:00:00,2026-03-04 18:00:00,MATCHED
TXN_RZP_100077,ORD_INV_200077,UTR_HDFC_800077,Rhea Kapoor,Credit Card,14661.16,14315.16,14315.16,2026-03-03 18:45:00,2026-03-04 18:45:00,MATCHED
TXN_RZP_100078,ORD_INV_200078,UTR_HDFC_800078,Meera Nambiar,Debit Card,42311.86,41313.3,40564.37,2026-03-03 19:30:00,2026-03-04 19:30:00,EXCEPTION
TXN_RZP_100079,ORD_INV_200079,UTR_HDFC_800079,Manish Tiwari,Debit Card,25950.43,25338.0,25338.0,2026-03-03 20:15:00,2026-03-04 20:15:00,MATCHED
TXN_RZP_100080,ORD_INV_200080,UTR_HDFC_800080,Pooja Mehta,Debit Card,43904.57,42868.42,42868.42,2026-03-03 21:00:00,2026-03-04 21:00:00,MATCHED
TXN_RZP_100081,ORD_INV_200081,UTR_HDFC_800081,Deepika Sen,Credit Card,17212.37,16806.15,16806.15,2026-03-03 21:45:00,2026-03-04 21:45:00,MATCHED
TXN_RZP_100082,ORD_INV_200082,UTR_HDFC_800082,Tanvi Deshmukh,NetBanking,11550.29,11277.7,11277.7,2026-03-03 22:30:00,2026-03-04 22:30:00,MATCHED
TXN_RZP_100083,ORD_INV_200083,UTR_HDFC_800083,Varun Dhawan,NetBanking,5946.01,5805.68,5805.68,2026-03-03 23:15:00,2026-03-04 23:15:00,MATCHED
TXN_RZP_100084,ORD_INV_200084,UTR_HDFC_800084,Vikram Malhotra,NetBanking,39499.4,38567.21,38567.21,2026-03-04 00:00:00,2026-03-05 00:00:00,MATCHED
TXN_RZP_100085,ORD_INV_200085,UTR_HDFC_800085,Aarav Sharma,Debit Card,27950.1,27290.48,27290.48,2026-03-04 00:45:00,2026-03-05 00:45:00,MATCHED
TXN_RZP_100086,ORD_INV_200086,UTR_HDFC_800086,Tanvi Deshmukh,Wallet,3073.2,3000.68,2988.18,2026-03-04 01:30:00,2026-03-05 01:30:00,EXCEPTION
TXN_RZP_100087,ORD_INV_200087,UTR_HDFC_800087,Rahul Dravid,Debit Card,31024.65,30292.47,30292.47,2026-03-04 02:15:00,2026-03-05 02:15:00,MATCHED
TXN_RZP_100088,ORD_INV_200088,UTR_HDFC_800088,Siddharth Nair,Wallet,35287.48,34454.69,34454.69,2026-03-04 03:00:00,2026-03-05 03:00:00,MATCHED
TXN_RZP_100089,ORD_INV_200089,UTR_HDFC_800089,Deepika Sen,UPI,16645.94,16253.09,16253.09,2026-03-04 03:45:00,2026-03-05 03:45:00,MATCHED
TXN_RZP_100090,ORD_INV_200090,UTR_HDFC_800090,Tanvi Deshmukh,Credit Card,31577.14,30831.92,30781.92,2026-03-04 04:30:00,2026-03-05 04:30:00,EXCEPTION
TXN_RZP_100091,ORD_INV_200091,UTR_HDFC_800091,Sneha Kulkarni,Debit Card,898.3,877.1,877.1,2026-03-04 05:15:00,2026-03-05 05:15:00,MATCHED
TXN_RZP_100092,ORD_INV_200092,UTR_HDFC_800092,Varun Dhawan,Credit Card,39599.33,38664.78,38664.78,2026-03-04 06:00:00,2026-03-05 06:00:00,MATCHED
TXN_RZP_100093,ORD_INV_200093,UTR_HDFC_800093,Karan Singhania,UPI,30185.77,29473.38,29473.38,2026-03-04 06:45:00,2026-03-05 06:45:00,MATCHED
TXN_RZP_100094,ORD_INV_200094,UTR_HDFC_800094,Neha Gupta,UPI,22125.25,21603.09,21603.09,2026-03-04 07:30:00,2026-03-05 07:30:00,MATCHED
TXN_RZP_100095,ORD_INV_200095,UTR_HDFC_800095,Vikram Malhotra,Debit Card,25858.09,25247.84,25247.84,2026-03-04 08:15:00,2026-03-05 08:15:00,MATCHED
TXN_RZP_100096,ORD_INV_200096,UTR_HDFC_800096,Vikram Malhotra,UPI,35717.02,34874.1,34874.1,2026-03-04 09:00:00,2026-03-05 09:00:00,MATCHED
TXN_RZP_100097,ORD_INV_200097,UTR_HDFC_800097,Varun Dhawan,NetBanking,10310.63,10067.3,10067.3,2026-03-04 09:45:00,2026-03-05 09:45:00,MATCHED
TXN_RZP_100098,ORD_INV_200098,UTR_HDFC_800098,Siddharth Nair,Credit Card,40753.16,39791.39,39791.39,2026-03-04 10:30:00,2026-03-05 10:30:00,MATCHED
TXN_RZP_100099,ORD_INV_200099,UTR_HDFC_800099,Rohit Verma,Wallet,12310.72,12020.19,12020.19,2026-03-04 11:15:00,2026-03-05 11:15:00,MATCHED
TXN_RZP_100100,ORD_INV_200100,UTR_HDFC_800100,Meera Nambiar,UPI,16275.91,15891.8,15891.8,2026-03-04 12:00:00,2026-03-05 12:00:00,MATCHED
TXN_RZP_100101,ORD_INV_200101,UTR_HDFC_800101,Rahul Dravid,UPI,27627.44,26975.43,26975.43,2026-03-04 12:45:00,2026-03-05 12:45:00,MATCHED
TXN_RZP_100102,ORD_INV_200102,UTR_HDFC_800102,Karan Singhania,Wallet,17006.62,16605.27,16605.27,2026-03-04 13:30:00,2026-03-05 13:30:00,MATCHED
TXN_RZP_100103,ORD_INV_200103,UTR_HDFC_800103,Karan Singhania,Credit Card,30337.74,29621.77,29621.77,2026-03-04 14:15:00,2026-03-05 14:15:00,MATCHED
TXN_RZP_100104,ORD_INV_200104,UTR_HDFC_800104,Tanvi Deshmukh,Credit Card,44905.76,43845.98,43845.98,2026-03-04 15:00:00,2026-03-05 15:00:00,MATCHED
TXN_RZP_100105,ORD_INV_200105,UTR_HDFC_800105,Aarav Sharma,Debit Card,44789.18,43732.16,43732.16,2026-03-04 15:45:00,2026-03-05 15:45:00,MATCHED
TXN_RZP_100106,ORD_INV_200106,UTR_HDFC_800106,Siddharth Nair,Credit Card,35269.5,34437.14,34437.14,2026-03-04 16:30:00,2026-03-05 16:30:00,MATCHED
TXN_RZP_100107,ORD_INV_200107,UTR_HDFC_800107,Vikram Malhotra,Debit Card,14086.15,13753.72,13753.72,2026-03-04 17:15:00,2026-03-05 17:15:00,MATCHED
TXN_RZP_100108,ORD_INV_200108,UTR_HDFC_800108,Aditya Joshi,Credit Card,1157.16,1129.85,1129.85,2026-03-04 18:00:00,2026-03-05 18:00:00,MATCHED
TXN_RZP_100109,ORD_INV_200109,UTR_HDFC_800109,Sneha Kulkarni,Credit Card,23952.43,23387.15,23387.15,2026-03-04 18:45:00,2026-03-05 18:45:00,MATCHED
TXN_RZP_100110,ORD_INV_200110,UTR_HDFC_800110,Pooja Mehta,Wallet,4033.43,3938.24,3938.24,2026-03-04 19:30:00,2026-03-05 19:30:00,MATCHED
TXN_RZP_100111,ORD_INV_200111,UTR_HDFC_800111,Karan Singhania,UPI,37153.61,36276.79,36276.79,2026-03-04 20:15:00,2026-03-05 20:15:00,MATCHED
TXN_RZP_100112,ORD_INV_200112,UTR_HDFC_800112,Manish Tiwari,NetBanking,32793.41,32019.48,32019.48,2026-03-04 21:00:00,2026-03-05 21:00:00,MATCHED
TXN_RZP_100113,ORD_INV_200113,UTR_HDFC_800113,Vikram Malhotra,Wallet,11923.65,11642.26,5821.13,2026-03-04 21:45:00,2026-03-05 21:45:00,EXCEPTION
TXN_RZP_100114,ORD_INV_200114,UTR_HDFC_800114,Nikhil Chopra,NetBanking,19046.85,18597.34,18597.34,2026-03-04 22:30:00,2026-03-05 22:30:00,MATCHED
TXN_RZP_100115,ORD_INV_200115,UTR_HDFC_800115,Rohit Verma,UPI,22167.28,21644.13,21644.13,2026-03-04 23:15:00,2026-03-05 23:15:00,MATCHED
TXN_RZP_100116,ORD_INV_200116,UTR_HDFC_800116,Ananya Rao,UPI,41065.17,40096.04,40096.04,2026-03-05 00:00:00,2026-03-06 00:00:00,MATCHED
TXN_RZP_100117,ORD_INV_200117,UTR_HDFC_800117,Meera Nambiar,Debit Card,33799.18,33001.52,33001.52,2026-03-05 00:45:00,2026-03-06 00:45:00,MATCHED
TXN_RZP_100118,ORD_INV_200118,UTR_HDFC_800118,Varun Dhawan,UPI,38829.82,37913.43,37913.43,2026-03-05 01:30:00,2026-03-06 01:30:00,MATCHED
TXN_RZP_100119,ORD_INV_200119,UTR_HDFC_800119,Karan Singhania,Credit Card,33914.17,33113.8,33113.8,2026-03-05 02:15:00,2026-03-06 02:15:00,MATCHED
TXN_RZP_100120,ORD_INV_200120,UTR_HDFC_800120,Rahul Dravid,Debit Card,37597.83,36710.52,36710.52,2026-03-05 03:00:00,2026-03-06 03:00:00,MATCHED
TXN_RZP_100121,ORD_INV_200121,UTR_HDFC_800121,Deepika Sen,Debit Card,18452.2,18016.73,18017.48,2026-03-05 03:45:00,2026-03-06 03:45:00,EXCEPTION
TXN_RZP_100122,ORD_INV_200122,UTR_HDFC_800122,Deepika Sen,NetBanking,39791.75,38852.66,38852.66,2026-03-05 04:30:00,2026-03-06 04:30:00,MATCHED
TXN_RZP_100123,ORD_INV_200123,UTR_HDFC_800123,Siddharth Nair,Credit Card,21943.69,21425.82,21425.82,2026-03-05 05:15:00,2026-03-06 05:15:00,MATCHED
TXN_RZP_100124,ORD_INV_200124,UTR_HDFC_800124,Manish Tiwari,Credit Card,8218.7,8024.74,8024.74,2026-03-05 06:00:00,2026-03-06 06:00:00,MATCHED
TXN_RZP_100125,ORD_INV_200125,UTR_HDFC_800125,Tanvi Deshmukh,Wallet,36240.32,35385.04,35385.04,2026-03-05 06:45:00,2026-03-06 06:45:00,MATCHED
TXN_RZP_100126,ORD_INV_200126,UTR_HDFC_800126,Vikram Malhotra,UPI,18621.12,18181.66,18181.66,2026-03-05 07:30:00,2026-03-06 07:30:00,MATCHED
TXN_RZP_100127,ORD_INV_200127,UTR_HDFC_800127,Nikhil Chopra,NetBanking,30534.37,29813.76,29813.76,2026-03-05 08:15:00,2026-03-06 08:15:00,MATCHED
TXN_RZP_100128,ORD_INV_200128,UTR_HDFC_800128,Aditya Joshi,Wallet,31986.42,31231.54,31231.54,2026-03-05 09:00:00,2026-03-06 09:00:00,MATCHED
TXN_RZP_100129,ORD_INV_200129,UTR_HDFC_800129,Deepika Sen,UPI,8522.4,8321.27,8321.27,2026-03-05 09:45:00,2026-03-06 09:45:00,MATCHED
TXN_RZP_100130,ORD_INV_200130,UTR_HDFC_800130,Siddharth Nair,Credit Card,23606.71,23049.6,23049.6,2026-03-05 10:30:00,2026-03-06 10:30:00,MATCHED
TXN_RZP_100131,ORD_INV_200131,UTR_HDFC_800131,Rahul Dravid,UPI,14200.93,13865.79,13865.79,2026-03-05 11:15:00,2026-03-06 11:15:00,MATCHED
TXN_RZP_100132,ORD_INV_200132,UTR_HDFC_800132,Karan Singhania,Credit Card,4041.85,3946.46,3946.46,2026-03-05 12:00:00,2026-03-06 12:00:00,MATCHED
TXN_RZP_100133,ORD_INV_200133,UTR_HDFC_800133,Priya Patel,Credit Card,22422.98,21893.8,21893.8,2026-03-05 12:45:00,2026-03-06 12:45:00,MATCHED
TXN_RZP_100134,ORD_INV_200134,UTR_HDFC_800134,Nikhil Chopra,NetBanking,42487.39,41484.68,41484.68,2026-03-05 13:30:00,2026-03-06 13:30:00,MATCHED
TXN_RZP_100135,ORD_INV_200135,UTR_HDFC_800135,Neha Gupta,UPI,14561.1,14217.46,14217.46,2026-03-05 14:15:00,2026-03-06 14:15:00,MATCHED
TXN_RZP_100136,ORD_INV_200136,UTR_HDFC_800136,Deepika Sen,UPI,38737.88,37823.66,37823.66,2026-03-05 15:00:00,2026-03-06 15:00:00,MATCHED
TXN_RZP_100137,ORD_INV_200137,UTR_HDFC_800137,Aditya Joshi,Wallet,36025.6,35175.4,35175.4,2026-03-05 15:45:00,2026-03-06 15:45:00,MATCHED
TXN_RZP_100138,ORD_INV_200138,UTR_HDFC_800138,Priya Patel,UPI,3615.05,3529.74,3529.74,2026-03-05 16:30:00,2026-03-06 16:30:00,MATCHED
TXN_RZP_100139,ORD_INV_200139,UTR_HDFC_800139,Rohit Verma,Wallet,40989.63,40022.28,40022.28,2026-03-05 17:15:00,2026-03-06 17:15:00,MATCHED
TXN_RZP_100140,ORD_INV_200140,UTR_HDFC_800140,Pooja Mehta,UPI,40305.94,39354.72,39354.72,2026-03-05 18:00:00,2026-03-06 18:00:00,MATCHED
TXN_RZP_100141,ORD_INV_200141,UTR_HDFC_800141,Rohit Verma,Wallet,22521.59,21990.08,21990.08,2026-03-05 18:45:00,2026-03-06 18:45:00,MATCHED
TXN_RZP_100142,ORD_INV_200142,UTR_HDFC_800142,Aditya Joshi,UPI,15047.53,14692.41,14692.41,2026-03-05 19:30:00,2026-03-06 19:30:00,MATCHED
TXN_RZP_100143,ORD_INV_200143,UTR_HDFC_800143,Rohit Verma,Debit Card,26152.65,25535.45,25535.45,2026-03-05 20:15:00,2026-03-06 20:15:00,EXCEPTION
TXN_RZP_100144,ORD_INV_200144,UTR_HDFC_800144,Sneha Kulkarni,Debit Card,8490.92,8290.53,8290.53,2026-03-05 21:00:00,2026-03-06 21:00:00,MATCHED
TXN_RZP_100145,ORD_INV_200145,UTR_HDFC_800145,Varun Dhawan,NetBanking,29915.92,29209.9,29209.9,2026-03-05 21:45:00,2026-03-06 21:45:00,MATCHED
TXN_RZP_100146,ORD_INV_200146,UTR_HDFC_800146,Nikhil Chopra,Credit Card,36134.34,35281.57,35281.57,2026-03-05 22:30:00,2026-03-06 22:30:00,MATCHED
